PageKey,Active,SortOrder,ProductLink,DisplayName,StyleImageUrl,Badge,CategoryLabel,Notes
resort-merchandise,TRUE,9,https://products.promosapiensolutions.com/products/556230610,Richardson Full Fabric 5-Panel Champ,assets/images/trending-products/556230610.webp,Trending,Headwear,Weekly ESP search: premium caps
resort-merchandise,TRUE,10,https://products.promosapiensolutions.com/products/551168588,Q-Tees Hemmed Fingertip Towel,assets/images/trending-products/551168588.webp,Trending,Resort Essentials,Weekly ESP search: resort towel
resort-merchandise,TRUE,11,https://products.promosapiensolutions.com/products/553196373,TravisMathew Coto Performance Polo.,assets/images/trending-products/553196373.webp,Trending,Resort Apparel,Weekly ESP search: TravisMathew polo
resort-merchandise,TRUE,12,https://products.promosapiensolutions.com/products/554494739,LIMITED EDITION Tommy Bahama 5 O'Clock Polo,assets/images/trending-products/554494739.webp,Trending,Resort Apparel,Weekly ESP search: Tommy Bahama polo
resort-merchandise,TRUE,13,https://products.promosapiensolutions.com/products/551552479,Port Authority Medium Cotton Canvas Tote.,assets/images/trending-products/551552479.webp,Trending,Bags,Weekly ESP search: beach tote
resort-merchandise,TRUE,14,https://products.promosapiensolutions.com/products/556238841,Richardson 5-Panel Relaxed Gramps,assets/images/trending-products/556238841.webp,New,Headwear,Weekly ESP search: premium caps
resort-merchandise,TRUE,15,https://products.promosapiensolutions.com/products/550410706,Carmel Towel Company Chevron Velour Beach Towel,assets/images/trending-products/550410706.webp,Trending,Resort Essentials,Weekly ESP search: resort towel
golf-tournaments,TRUE,1,https://products.promosapiensolutions.com/products/553421569,Nike Dri-FIT Micro Pique 2.0 Polo,assets/images/trending-products/553421569.webp,Trending,Golf Apparel,Weekly ESP search: golf apparel
golf-tournaments,TRUE,2,https://products.promosapiensolutions.com/products/555802838,Nike Air Hybrid 2 Golf Bag,assets/images/trending-products/555802838.webp,Trending,Golf Accessories,Weekly ESP search: golf accessories
golf-tournaments,TRUE,3,https://products.promosapiensolutions.com/products/552614056,OGIO XL (Xtra-Light) 2.0 Golf Bag,assets/images/trending-products/552614056.webp,Trending,Golf Bags,Weekly ESP search: golf bags
golf-tournaments,TRUE,4,https://products.promosapiensolutions.com/products/550523180,Sport-Tek PosiCharge RacerMesh Polo.,assets/images/trending-products/550523180.webp,Trending,Golf Apparel,Weekly ESP search: golf apparel
golf-tournaments,TRUE,5,https://products.promosapiensolutions.com/products/6271250,OGIO - Chill 18-24 Can Cooler.,assets/images/trending-products/6271250.webp,Trending,Golf Accessories,Weekly ESP search: golf accessories
golf-tournaments,TRUE,6,https://products.promosapiensolutions.com/products/552614058,OGIO Vision 2.0 Golf Bag,assets/images/trending-products/552614058.webp,Trending,Golf Bags,Weekly ESP search: golf bags
golf-tournaments,TRUE,7,https://products.promosapiensolutions.com/products/556224064,TravisMathew Onward Polo,assets/images/trending-products/556224064.webp,Trending,Golf Apparel,Weekly ESP search: golf apparel
golf-tournaments,TRUE,8,https://products.promosapiensolutions.com/products/555706766,TravisMathew Gimme Cooler,assets/images/trending-products/555706766.webp,Trending,Golf Accessories,Weekly ESP search: golf accessories
golf-tournaments,TRUE,9,https://products.promosapiensolutions.com/products/550147284,OGIO Orbit Cart Bag.,assets/images/trending-products/550147284.webp,Trending,Golf Bags,Weekly ESP search: golf bags
golf-tournaments,TRUE,10,https://products.promosapiensolutions.com/products/553421577,Nike Women's Dri-FIT Micro Pique 2.0 Polo,assets/images/trending-products/553421577.webp,Trending,Golf Apparel,Weekly ESP search: golf apparel
golf-tournaments,TRUE,11,https://products.promosapiensolutions.com/products/551847805,Divot Tool With Bottle Opener,assets/images/trending-products/551847805.webp,Trending,Golf Accessories,Weekly ESP search: golf accessories
golf-tournaments,TRUE,12,https://products.promosapiensolutions.com/products/555114427,OGIO Golf Travel Bag,assets/images/trending-products/555114427.webp,Trending,Golf Bags,Weekly ESP search: golf bags
golf-tournaments,TRUE,13,https://products.promosapiensolutions.com/products/550306899,Nike Dri-FIT Vertical Mesh Polo.,assets/images/trending-products/550306899.webp,Trending,Golf Apparel,Weekly ESP search: golf apparel
golf-tournaments,TRUE,14,https://products.promosapiensolutions.com/products/556196089,Recycled Poker Chip Ball Marker,assets/images/trending-products/556196089.webp,Trending,Golf Accessories,Weekly ESP search: golf accessories
golf-tournaments,TRUE,15,https://products.promosapiensolutions.com/products/550147823,Port Authority Grommeted Microfiber Golf Towel.,assets/images/trending-products/550147823.webp,Trending,Golf Bags,Weekly ESP search: golf bags
events-trade-shows,TRUE,1,https://products.promosapiensolutions.com/products/4694485,Port Authority - Ideal Twill Convention Tote.,assets/images/trending-products/4694485.webp,Trending,Conference Gear,Weekly ESP search: conference bags
events-trade-shows,TRUE,2,https://products.promosapiensolutions.com/products/550162770,CornerStone Tall Select Snag-Proof Tactical Polo.,assets/images/trending-products/550162770.webp,Trending,Event Apparel,Weekly ESP search: event staff apparel
events-trade-shows,TRUE,3,https://products.promosapiensolutions.com/products/555492283,Ultra Sound Speaker & Wireless Charger 2.0,assets/images/trending-products/555492283.webp,Trending,Tech Giveaways,Weekly ESP search: wireless chargers
events-trade-shows,TRUE,4,https://products.promosapiensolutions.com/products/552614040,Port Authority Clear Stadium Tote,assets/images/trending-products/552614040.webp,Trending,Conference Gear,Weekly ESP search: conference bags
events-trade-shows,TRUE,5,https://products.promosapiensolutions.com/products/6573436,CornerStone - Select Long Sleeve Snag-Proof Tactical Polo.,assets/images/trending-products/6573436.webp,Trending,Event Apparel,Weekly ESP search: event staff apparel
events-trade-shows,TRUE,6,https://products.promosapiensolutions.com/products/555517722,Wireless Phone Charging Pad 2.0,assets/images/trending-products/555517722.webp,Trending,Tech Giveaways,Weekly ESP search: wireless chargers
events-trade-shows,TRUE,7,https://products.promosapiensolutions.com/products/6815968,Liberty Bags Non-Woven Reusable Shopping Bag,assets/images/trending-products/6815968.webp,Trending,Conference Gear,Weekly ESP search: conference bags
events-trade-shows,TRUE,8,https://products.promosapiensolutions.com/products/5304074,CornerStone Women's Select Snag-Proof Tactical Polo.,assets/images/trending-products/5304074.webp,Trending,Event Apparel,Weekly ESP search: event staff apparel
events-trade-shows,TRUE,9,https://products.promosapiensolutions.com/products/555211286,3-in-1 Power Fold 15W MagClick™ Wireless Chargers,assets/images/trending-products/555211286.webp,Trending,Tech Giveaways,Weekly ESP search: wireless chargers
events-trade-shows,TRUE,10,https://products.promosapiensolutions.com/products/551168532,Liberty Bags Canvas Drawstring Backpack,assets/images/trending-products/551168532.webp,Trending,Conference Gear,Weekly ESP search: conference bags
events-trade-shows,TRUE,11,https://products.promosapiensolutions.com/products/5304061,CornerStone - Select Snag-Proof Tactical Polo.,assets/images/trending-products/5304061.webp,Trending,Event Apparel,Weekly ESP search: event staff apparel
events-trade-shows,TRUE,12,https://products.promosapiensolutions.com/products/555540319,TriCharged 3-in-1 15W Wireless Charging Stand,assets/images/trending-products/555540319.webp,Trending,Tech Giveaways,Weekly ESP search: wireless chargers
events-trade-shows,TRUE,13,https://products.promosapiensolutions.com/products/550041909,Liberty Bags Single Bottle Wine Tote,assets/images/trending-products/550041909.webp,Trending,Conference Gear,Weekly ESP search: conference bags
events-trade-shows,TRUE,14,https://products.promosapiensolutions.com/products/551168621,Red Kap Unisex Staff Coat,assets/images/trending-products/551168621.webp,Trending,Event Apparel,Weekly ESP search: event staff apparel
events-trade-shows,TRUE,15,https://products.promosapiensolutions.com/products/555188399,15W Mag Max Wireless Charger Power Bank,assets/images/trending-products/555188399.webp,Trending,Tech Giveaways,Weekly ESP search: wireless chargers
trades,TRUE,1,https://products.promosapiensolutions.com/products/552159640,Carhartt Workwear Pocket Short Sleeve T-Shirt.,assets/images/trending-products/552159640.webp,Trending,Workwear,Weekly ESP search: Carhartt workwear
trades,TRUE,2,https://products.promosapiensolutions.com/products/4693921,Red Kap Slash Pocket Jacket.,assets/images/trending-products/4693921.webp,Trending,Workwear,Weekly ESP search: Red Kap workwear
trades,TRUE,3,https://products.promosapiensolutions.com/products/551168669,Red Kap Men's High Visibility Safety Short Sleeve Work Shirt,assets/images/trending-products/551168669.webp,Trending,High Visibility,Weekly ESP search: high visibility workwear
trades,TRUE,4,https://products.promosapiensolutions.com/products/550181673,CornerStone Washed Duck Cloth Flannel-Lined Work Jacket.,assets/images/trending-products/550181673.webp,Trending,Workwear,Weekly ESP search: work jackets
trades,TRUE,5,https://products.promosapiensolutions.com/products/551888760,Kishigo Full Brim Sun Shield,assets/images/trending-products/551888760.webp,Trending,Safety Gear,Weekly ESP search: hard hats
trades,TRUE,6,https://products.promosapiensolutions.com/products/552159639,Carhartt Workwear Pocket Long Sleeve T-Shirt.,assets/images/trending-products/552159639.webp,Trending,Workwear,Weekly ESP search: Carhartt workwear
trades,TRUE,7,https://products.promosapiensolutions.com/products/550759769,Red Kap Men's Industrial Short Sleeve Work Shirt,assets/images/trending-products/550759769.webp,Trending,Workwear,Weekly ESP search: Red Kap workwear
trades,TRUE,8,https://products.promosapiensolutions.com/products/551168667,Red Kap Men's High Visibility Safety Long Sleeve Work Shirt,assets/images/trending-products/551168667.webp,Trending,High Visibility,Weekly ESP search: high visibility workwear
trades,TRUE,9,https://products.promosapiensolutions.com/products/552352261,CornerStone - Duck Cloth Work Jacket.,assets/images/trending-products/552352261.webp,Trending,Workwear,Weekly ESP search: work jackets
trades,TRUE,10,https://products.promosapiensolutions.com/products/555763809,Spyder Radykl Flexfit Trucker Cap,assets/images/trending-products/555763809.webp,Trending,Safety Gear,Weekly ESP search: hard hats
trades,TRUE,11,https://products.promosapiensolutions.com/products/552159642,Carhartt Tall Workwear Pocket Short Sleeve T-Shirt.,assets/images/trending-products/552159642.webp,Trending,Workwear,Weekly ESP search: Carhartt workwear
trades,TRUE,12,https://products.promosapiensolutions.com/products/550759756,Red Kap Men's Industrial Long Sleeve Work Shirt,assets/images/trending-products/550759756.webp,Trending,Workwear,Weekly ESP search: Red Kap workwear
trades,TRUE,13,https://products.promosapiensolutions.com/products/551168677,Red Kap Men's High Visibility Safety Vest,assets/images/trending-products/551168677.webp,Trending,High Visibility,Weekly ESP search: high visibility workwear
trades,TRUE,14,https://products.promosapiensolutions.com/products/7159856,CornerStone Tall Duck Cloth Work Jacket.,assets/images/trending-products/7159856.webp,Trending,Workwear,Weekly ESP search: work jackets
trades,TRUE,15,https://products.promosapiensolutions.com/products/551685923,Kishigo Hard Hat Nape Protector,assets/images/trending-products/551685923.webp,Trending,Safety Gear,Weekly ESP search: hard hats
